number_test_files,number_smells_detected
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,3
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
0,0
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,3
1,5
0,0
1,5
1,5
1,2
1,5
0,0
1,5
0,0
1,5
0,0
1,5
0,0
0,0
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,3
1,5
0,0
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,2
0,0
1,5
1,3
1,5
1,5
1,5
1,5
1,5
0,0
1,3
0,0
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,3
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,3
1,5
0,0
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,3
1,5
0,0
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,2
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,3
0,0
1,3
1,5
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,3
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,3
0,0
0,0
1,5
1,5
1,5
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,3
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,3
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,3
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
0,0
0,0
0,0
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,2
0,0
1,5
1,5
1,5
0,0
0,0
1,5
0,0
1,5
1,2
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,3
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
0,0
0,0
1,3
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,3
1,5
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,2
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,2
1,5
1,3
1,3
1,5
0,0
0,0
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,2
1,5
0,0
0,0
1,3
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,2
1,5
1,5
1,5
0,0
0,0
1,5
0,0
0,0
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,2
1,5
1,2
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,3
0,0
1,5
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
0,0
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,3
0,0
1,3
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,3
0,0
1,5
1,5
1,5
1,3
1,5
1,2
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,2
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,2
1,5
1,5
1,2
1,5
0,0
1,5
1,3
1,5
0,0
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,2
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,3
0,0
1,5
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,3
1,5
0,0
0,0
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,3
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
0,0
1,5
1,5
1,5
0,0
1,3
1,5
1,5
1,3
1,5
1,3
1,3
1,3
1,3
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,2
0,0
1,5
0,0
1,5
0,0
0,0
1,5
1,5
0,0
1,5
0,0
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,3
1,5
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
1,5
0,0
0,0
0,0
0,0
1,5
1,5
1,2
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,2
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
0,0
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,3
1,5
1,5
0,0
0,0
1,3
1,5
1,5
1,5
0,0
1,3
1,5
1,5
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,3
1,3
1,3
0,0
0,0
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
0,0
1,5
1,3
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,3
1,5
1,5
0,0
1,5
0,0
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,3
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,3
1,5
0,0
0,0
0,0
1,3
1,5
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,3
1,3
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,2
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,3
1,5
0,0
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,2
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
0,0
0,0
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,2
1,5
0,0
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
0,0
1,5
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
0,0
1,3
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,3
1,5
1,5
0,0
1,5
1,2
0,0
1,5
1,5
1,3
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,3
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,3
0,0
1,5
0,0
0,0
0,0
1,5
1,3
0,0
0,0
1,5
0,0
1,3
0,0
0,0
0,0
1,5
1,5
1,5
0,0
1,2
1,5
1,5
0,0
0,0
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,2
0,0
0,0
1,5
0,0
1,5
0,0
1,5
1,2
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
0,0
1,5
0,0
1,5
0,0
1,3
1,5
0,0
1,5
1,3
1,5
1,3
1,5
1,5
0,0
1,5
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,2
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,2
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,3
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,3
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
0,0
1,3
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
1,5
0,0
1,5
1,5
0,0
0,0
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,3
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,3
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
0,0
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,3
1,5
1,3
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
1,3
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,3
0,0
1,5
1,5
0,0
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,3
1,5
0,0
1,5
0,0
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,2
1,5
0,0
1,5
1,5
0,0
1,3
0,0
1,5
1,3
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,3
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
0,0
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,2
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,3
0,0
1,2
0,0
1,5
1,5
0,0
1,5
1,3
1,3
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,2
1,5
1,5
1,5
1,3
0,0
1,5
1,5
0,0
0,0
1,2
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,2
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
0,0
0,0
1,5
0,0
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,2
1,5
1,5
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
0,0
0,0
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
0,0
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,3
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
1,5
1,5
1,5
1,5
1,5
0,0
1,5
0,0
1,5
